,City,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Wind Speed,Country
0,Cape Town,75,1598756403,93,-33.93,18.42,39.2,2.24,ZA
1,Te Anau,100,1598756455,71,-45.42,167.72,51.89,7.18,NZ
2,Ushuaia,90,1598756461,91,-54.8,-68.3,32.0,20.8,AR
3,Yellowknife,75,1598756443,81,62.46,-114.35,46.4,18.34,CA
4,Rikitea,10,1598756680,76,-23.12,-134.97,70.12,7.45,PF
5,Kimbe,3,1598756680,53,-5.55,150.14,91.4,10.87,PG
6,Constitución,0,1598756681,64,-35.33,-72.42,44.67,11.14,CL
7,Avarua,34,1598756586,73,-21.21,-159.78,77.0,18.34,CK
8,Severo-Kuril'sk,47,1598756681,78,50.68,156.12,52.95,10.94,RU
9,Cherskiy,100,1598756573,79,68.75,161.3,44.17,8.1,RU
10,Thompson,75,1598756461,81,55.74,-97.86,53.6,4.7,CA
11,Sulangan,97,1598756681,71,11.14,123.72,84.51,6.71,PH
12,Bilibino,100,1598756576,83,68.05,166.44,44.69,2.68,RU
13,Hobart,40,1598756423,32,-42.88,147.33,68.0,36.91,AU
14,Verāval,100,1598756561,88,20.9,70.37,79.5,11.72,IN
15,Zhoucun,5,1598756682,58,36.82,117.82,90.0,3.0,CN
16,Qaanaaq,0,1598756682,81,77.48,-69.36,30.81,4.41,GL
17,Jamestown,75,1598756682,77,42.1,-79.24,62.6,8.05,US
18,Bougouni,100,1598756683,95,11.42,-7.48,71.64,5.17,ML
19,Altay,0,1598756683,38,47.87,88.12,64.2,3.78,CN
20,Mar del Plata,75,1598756576,64,-38.0,-57.56,43.0,4.7,AR
21,Carnarvon,0,1598756683,29,-24.87,113.63,75.2,12.75,AU
22,Buala,21,1598756683,68,-8.14,159.59,86.25,7.47,SB
23,Port Said,40,1598756683,88,31.26,32.28,78.8,6.93,EG
24,Kenai,90,1598756684,67,60.55,-151.26,57.2,9.17,US
25,Cape Coast,100,1598756684,91,5.11,-1.25,73.47,9.13,GH
26,Provideniya,63,1598756684,62,64.38,-173.3,53.4,9.48,RU
27,Shizunai-furukawachō,100,1598756684,92,42.33,142.37,55.74,20.38,JP
28,Tiksi,9,1598756684,74,71.69,128.87,46.42,8.88,RU
29,Marrakesh,0,1598756409,56,31.63,-8.01,68.0,6.93,MA
30,Thoen,100,1598756685,64,17.61,99.22,88.74,1.5,TH
31,Guiyang,0,1598756685,48,26.58,106.72,86.0,11.18,CN
32,Hīt,0,1598756685,16,33.64,42.83,83.82,11.34,IQ
33,Guiglo,95,1598756467,98,6.55,-7.5,70.02,2.95,CI
34,Nhulunbuy,90,1598756685,61,-12.23,136.77,82.4,19.46,AU
35,Butaritari,38,1598756685,69,3.07,172.79,84.0,11.5,KI
36,Isangel,75,1598756686,73,-19.55,169.27,75.2,11.41,VU
37,Faanui,0,1598756585,76,-16.48,-151.75,78.13,23.82,PF
38,Pisco,90,1598756686,87,-13.7,-76.22,61.0,5.82,PE
39,Nizhnyaya Tavda,100,1598756686,81,57.67,66.17,66.02,5.82,RU
40,Busselton,59,1598756686,67,-33.65,115.33,59.0,4.0,AU
41,Manta,90,1598756663,83,-0.95,-80.73,73.4,3.36,EC
42,New Norfolk,68,1598756687,48,-42.78,147.06,66.99,7.0,AU
43,Saint Paul Harbor,90,1598756687,93,57.79,-152.41,53.6,20.8,US
44,Port Elizabeth,90,1598756561,87,-33.92,25.57,46.4,16.11,ZA
45,Colares,0,1598756687,79,38.8,-9.45,63.0,21.99,PT
46,Tuktoyaktuk,20,1598756688,87,69.45,-133.04,42.8,11.41,CA
47,Atuona,10,1598756688,78,-9.8,-139.03,79.02,21.0,PF
48,Gobabis,0,1598756688,75,-22.45,18.97,36.0,11.9,NA
49,Dorado,20,1598756688,74,18.46,-66.27,84.2,14.99,PR
50,Lebu,0,1598756688,78,-37.62,-73.65,43.7,12.93,CL
51,Mataura,85,1598756689,54,-46.19,168.86,58.84,12.71,NZ
52,Saint-Philippe,62,1598756573,77,-21.36,55.77,64.4,8.05,RE
53,Nanortalik,88,1598756689,75,60.14,-45.24,48.69,6.51,GL
54,Kungurtug,100,1598756689,84,50.6,97.52,47.97,2.89,RU
55,Hithadhoo,33,1598756689,73,-0.6,73.08,82.67,9.89,MV
56,Sergeevka,80,1598756689,63,53.88,67.42,69.04,6.22,KZ
57,Egvekinot,27,1598756690,70,66.32,-179.17,40.82,17.13,RU
58,Kulhudhuffushi,100,1598756690,69,6.62,73.07,83.32,8.48,MV
59,Cap-aux-Meules,90,1598756690,87,47.38,-61.86,57.2,8.05,CA
60,Saskylakh,100,1598756690,41,71.92,114.08,60.94,5.61,RU
61,Albany,18,1598756567,93,42.6,-73.97,68.0,10.98,US
62,Viedma,0,1598756626,60,-40.81,-63.0,33.01,11.27,AR
63,Yulara,0,1598756690,22,-25.24,130.99,75.2,10.29,AU
64,Sobolevo,81,1598756691,79,54.43,31.9,59.0,10.09,RU
65,Port Hardy,40,1598756461,77,50.7,-127.42,59.0,12.75,CA
66,Srandakan,17,1598756691,57,-7.94,110.25,85.57,14.16,ID
67,Chokurdakh,97,1598756691,77,70.63,147.92,43.48,4.18,RU
68,Vredendal,0,1598756528,70,-31.67,18.5,40.64,3.91,ZA
69,Roald,93,1598756691,81,62.58,6.13,50.0,12.75,NO
70,Jiayuguan City,0,1598756692,31,39.82,98.3,65.37,2.53,CN
71,Nikolskoye,90,1598756692,87,59.7,30.79,53.6,8.95,RU
72,Margate,100,1598756692,79,51.38,1.39,61.0,8.99,GB
73,Narsaq,77,1598756567,31,60.92,-46.05,60.8,24.16,GL
74,Kyzyl-Suu,0,1598756693,47,42.34,78.0,61.32,3.0,KG
75,Castro,0,1598756437,77,-24.79,-50.01,59.95,3.09,BR
76,Geraldton,0,1598756693,42,-28.77,114.6,66.2,16.11,AU
77,Kapaa,1,1598756693,74,22.08,-159.32,82.4,14.99,US
78,Yichang,0,1598756693,47,30.71,111.28,92.07,0.78,CN
79,Arraial do Cabo,0,1598756693,87,-22.97,-42.03,71.87,26.49,BR
80,Punta Arenas,71,1598756608,80,-53.15,-70.92,37.4,17.22,CL
81,Ubari,0,1598756694,24,26.59,12.78,81.99,9.64,LY
82,Slave Lake,90,1598756614,87,55.28,-114.77,50.0,24.16,CA
83,Namatanai,46,1598756694,73,-3.67,152.43,84.6,8.99,PG
84,Khatanga,90,1598756694,57,71.97,102.5,57.22,11.07,RU
85,Lakselv,98,1598756694,87,70.05,24.97,46.4,17.22,NO
86,Talara,45,1598756694,89,-4.58,-81.27,62.1,16.22,PE
87,Nyurba,100,1598756694,58,63.28,118.33,64.22,3.76,RU
88,Ponta do Sol,40,1598756695,53,32.67,-17.1,71.6,13.87,PT
